station_id,capacity
257,23|24
258,26|27
259,23|24
260,24|25|26|27|28
261,32
262,12|20|23|24|25|26
263,19|20
264,30|31|32|33
265,26|27
266,25|26|27|33|34
267,23|24
268,26|27
269,20|22|23
270,26|27
271,14|15|17|18|20|21
272,25|26|27
273,34|35|36
274,30|31|32
275,31|32
276,26|27
277,26|27
278,26|27
279,25|26|27
280,26|27
281,23|24
282,25|26|27
283,2|6|7|20
284,26|27
285,6|8|13|14|15|16|22|23|24
286,15|16|18|19
287,3|12|15|16|17
288,23|30|31|32
289,26|27
290,16|17
291,25|26|27|28
292,12
293,1|22|23|24
294,24
295,2|26|27
296,32|33
297,23|24
298,32|33|34
299,26|27
300,18
301,26|27
302,31|32|39
303,27
304,23|25|26|27
305,26|27
306,30|31
307,23|24|31|32
308,26|27
309,9|12|13|21|22
310,26|27|28
311,23|24
312,34|35|36
313,27|28|29
314,16|23|24
315,26|27
316,5|25|26
317,15|26|27
318,26|27|29|30|31|32
319,29|30|31
320,25|26|27
321,26|27|28
322,23|24
323,26|27
324,26|27
325,22|23
326,30|31|32
327,23|24
328,18|25|26|27
329,25|26|27
330,26|27
331,24|29|30|31
332,14|20|26|27
333,7|11|12|15|25|26|27
334,24|25|26
335,27
336,23|25|26|27
337,22|23
338,35|36
339,25|26|27|28
340,23|24
341,25|26|27
342,26|27|30|31|43
343,1|26|27
344,3|27
345,30|31|32
346,15|16|17|32|33|34|35|36
347,4|30|31|32
348,1|31|32|33
349,29|30|31|32|33
350,29|30|31|32
351,32|33
352,4|24|27|28
353,29|30|31
354,25|26|27
355,15|18|19|20|21|25|26|27
356,14|21|24|26|27|34|35
357,10|24|25|26|27
358,24|25|26
359,25|26
360,28|29|30
361,32|33
362,22|28|31|32
363,23|24
364,32|33
365,28|29|30|31
366,15|16|17|18
367,31|32
368,26|27
369,26|27
370,30|31|32
371,34|35|36
372,25|26|27
373,15|28|29|30
374,31|32|33
375,27|38|39|43
376,9|16|27|37|38|39|43
377,28|29
378,3|4|19|20|21
379,18|19|20|21
380,23|24
381,33|37|38|39|40|41
382,26|27
383,23|24
384,24|25|26
385,29|30|31
386,3|15|17|18|24
387,31|32
388,27|32|33|34|35|36
389,27
390,23|24|25
391,26|27
392,18|19
393,29|30|31|32
394,25|26|27
395,31|32|33
396,8|19|20|22|31|32
397,25|26|27
398,27|30|31|34|35|36|37
399,27
400,24|30|41|42|43|44|45
401,23|24
402,29|30|31
403,21|22|23
404,31|32
405,25|26
406,32|33
408,36|38|39
409,26|27
410,37|38
411,23|24
412,4|26|27
413,31|32
414,31|32|33|34
415,24|25|27
416,25|26|27
417,24|30|31|32
418,26|27
419,8|25|31|32|33
420,26|27
421,24|25
422,26|27|28|44
423,31|32
424,25|26|27
425,23|24
426,30|31|32|33
427,6|12|24|25|26
428,26|27|33
429,8|10|19|24|26|27|28
430,11|25|26|27|28
431,18|19|20|21
432,27|28
433,4|5|28|29|30|37|39|40|41|42|53|54
434,26|27
435,26|27|28
436,19
437,35|36|37
438,26|27
439,17|18
440,26|27|28
441,17|18
442,17|18
443,28|30|31|32
444,27
445,23|24
446,13|14|15|16
447,26|27
448,26|27|28
449,25|26|27
450,26|27
451,23|24
452,27|28|52|53|54
454,25|26|27
455,20|21|22
456,19|20|21
457,16|17|18
458,24
459,25|26|27|38|39
460,14|15
461,27|28
462,25|27|28
463,13|16|20|22|23|24
464,22|23|24
465,26|27
466,29|30
467,19|20
468,15|17|18
469,11|12|17|18
470,22|23|24
471,23|24
472,22|23|24
473,19|20|21|27|29|30|31
474,16|18|20|21|23|24
475,18|19
476,15|16|17|18
477,25|26
478,10|29|30
479,17|18
480,26|28
481,26|27
482,20|22|23|24
483,18|21|29|31|32
484,24|26|27
485,26|27
486,27|28|29
487,3|4|11|12|13|14|15|20|23|24|25|26|27|28
488,27
489,26|27
490,42|48|49|50
491,15|26|27
492,1|23|24
493,23|24
494,23|24
495,5|7|8|9|10|11|12|13|14|15|16|17|20|21|24
496,17|18|19
497,8|9|26|27|31
498,26
499,26|27
500,1|3|4|5|6|7|8|10|21|22|23|24|26|27
501,15|16
502,17|18|19
503,27|28|29|30
504,27|28
505,26|27|28
506,15
507,23|24
508,1|26|27
509,20|23|24|27|28|32
510,24|25|26|27
511,19|20
512,24|25|26|27
513,20|27|28
514,17|18|19|24
515,24
516,21
517,3|8|11|12|16|17|19|20|23|24
518,25|26|27
519,23|24
520,15|16
521,2
526,24|26|27|28
527,35|36
529,1
530,1
532,1
533,1
535,1
536,1
537,33|38|39|40
538,22|23|24
539,15|16
540,18|19|20|21
541,14|26|27|28
542,1
543,1
544,22|23|24
545,3
547,23
553,16|18|23|26|30|32
554,23
558,36
561,24
563,24
564,28
565,26|27|28
566,9|17
567,23
568,24
569,28
572,24
573,20
577,23
581,27|28
582,28|30|31
585,24
595,16
596,23
597,28
598,23
599,23
600,24
602,20
603,16|17|24
604,28
608,1|16|17|20|23|24
609,24
610,25|26|27
